FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5674,923401611,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS31,Bird Lagoon,-22.18,155.47,2022-12-11,3.5,RLS,29,11:15:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,125,1,,POINT (155.47000122070312 -22.18000030517578)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5675,923401623,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS52,Kenn Reef anchorage bommie,-21.26,155.75,2022-12-10,12,RLS,32,11:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,40,1,,POINT (155.75 -21.260000228881836)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5676,923401625,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS51,Saumarez stripe seasnake,-21.92,153.59,2022-12-16,6,RLS,32,11:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,50,1,,POINT (153.58999633789062 -21.920000076293945)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5677,912351853,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS5,Paget Cay South East,-19.25,152.35,2019-05-06,4,RLS,25,7:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,87.5,1,,POINT (152.35000610351562 -19.25)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5678,912351859,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS232,Paget Cay seaward lagoon,-19.26,152.35,2019-05-07,1.5,RLS,30,8:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (152.35000610351562 -19.260000228881836)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5679,912351871,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS8,Carola Cay,-19.1,152.39,2019-05-07,4.5,RLS,25,14:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (152.38999938964844 -19.100000381469727)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_567a,912351872,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS8,Carola Cay,-19.1,152.39,2019-05-07,4,RLS,25,14:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (152.38999938964844 -19.100000381469727)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_567b,912352041,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Ashmore/Cartier,NWS3,Cardinal Shoal,-11.97,123.39,2019-01-04,9,RLS,20,15:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (123.38999938964844 -11.970000267028809)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_567c,923403746,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Scott & Seringapatam Reefs,NWS177,Seringapatam channel north,-13.63,122.02,2023-09-18,6,RLS,28,11:30:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (122.0199966430664 -13.630000114440918)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_567d,923403788,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Pilbara,NWS110,Hedland 2,-20.12,118.47,2023-10-05,14,RLS,4,11:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus tenuis,Aipysurus tenuis,75,1,,POINT (118.47000122070312 -20.1200008392334)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_567e,923403820,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Scott & Seringapatam Reefs,NWS176,Shackle Reef,-13.62,122.01,2023-09-18,6,RLS,24,14:30:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (122.01000213623047 -13.619999885559082)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_567f,923403856,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Ashmore/Cartier,NWS207,Seringapatam Lagoon Bommie,-20.27,115.39,2023-09-18,6.8,RLS,5,12:15:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus duboisii,Aipysurus duboisii,100,1,,POINT (115.38999938964844 -20.270000457763672)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5680,923404358,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS233,Marion Central bommie,-19.18,152.27,2024-12-13,16,RLS,30,13:30:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (152.27000427246094 -19.18000030517578)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5681,923404371,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS3,Brodie Cay SE,-19.28,152.22,2024-12-11,5,RLS,35,13:30:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (152.22000122070312 -19.280000686645508)
