FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55d2,912352006,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Scott & Seringapatam Reefs,NWS174,North Scott Lagoon,-13.93,121.9,2018-12-24,4,RLS,12,10:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Emydocephalus annulatus,Emydocephalus annulatus,112.5,3,,POINT (121.9000015258789 -13.930000305175781)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55d3,912352027,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Ashmore/Cartier,NWS11,Hibernia Lagoon SW,-11.98,123.34,2019-01-02,3,RLS,25,14:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Emydocephalus annulatus,Emydocephalus annulatus,100,1,,POINT (123.33999633789062 -11.979999542236328)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55d4,912352028,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Ashmore/Cartier,NWS9,Spur and Groove Reef,-11.97,123.34,2019-01-02,7,RLS,30,12:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (123.33999633789062 -11.970000267028809)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55d5,912352042,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Ashmore/Cartier,NWS189,Cartier Garden,-12.53,123.57,2019-01-05,5,RLS,25,15:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,112.5,1,,POINT (123.56999969482422 -12.529999732971191)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55d6,912352045,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Ashmore/Cartier,NWS192,Cartier Anchorage,-12.53,123.58,2019-01-06,12,RLS,25,9:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (123.58000183105469 -12.529999732971191)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55d7,912352090,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Ashmore/Cartier,NWS17,Turtle Patch,-12.24,122.99,2018-12-31,5,RLS,15,8:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,75,1,,POINT (122.98999786376953 -12.239999771118164)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55d8,912352096,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Ashmore/Cartier,NWS5,Hibernia Lagoon SE,-11.98,123.38,2019-01-04,3,RLS,25,8:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (123.37999725341797 -11.979999542236328)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55d9,912352110,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Scott & Seringapatam Reefs,NWS40,Stern Trawler Reef,-14.08,121.74,2018-12-24,2,RLS,15,12:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,75,1,,POINT (121.73999786376953 -14.079999923706055)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55da,912352110,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Scott & Seringapatam Reefs,NWS40,Stern Trawler Reef,-14.08,121.74,2018-12-24,2,RLS,15,12:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,87.5,1,,POINT (121.73999786376953 -14.079999923706055)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55db,912352110,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Scott & Seringapatam Reefs,NWS40,Stern Trawler Reef,-14.08,121.74,2018-12-24,2,RLS,15,12:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,112.5,1,,POINT (121.73999786376953 -14.079999923706055)
